,Day,Hour,pv output,UTC
0,1,0,0.0,1546322400.0
1,1,1,0.0,1546326000.0
2,1,2,0.0,1546329600.0
3,1,3,0.0,1546333200.0
4,1,4,0.0,1546336800.0
5,1,5,0.0,1546340400.0
6,1,6,0.0,1546344000.0
7,1,7,698710.813,1546347600.0
8,1,8,9316144.0,1546351200.0
9,1,9,19629042.0,1546354800.0
10,1,10,26543556.0,1546358400.0
11,1,11,29793390.0,1546362000.0
12,1,12,42479960.0,1546365600.0
13,1,13,64397288.0,1546369200.0
14,1,14,61165188.0,1546372800.0
15,1,15,30731438.0,1546376400.0
16,1,16,0.0,1546380000.0
17,1,17,0.0,1546383600.0
18,1,18,0.0,1546387200.0
19,1,19,0.0,1546390800.0
20,1,20,0.0,1546394400.0
21,1,21,0.0,1546398000.0
22,1,22,0.0,1546401600.0
23,1,23,0.0,1546405200.0
24,2,0,0.0,1546408800.0
25,2,1,0.0,1546412400.0
26,2,2,0.0,1546416000.0
27,2,3,0.0,1546419600.0
28,2,4,0.0,1546423200.0
29,2,5,0.0,1546426800.0
30,2,6,0.0,1546430400.0
31,2,7,1820908.125,1546434000.0
32,2,8,39549312.0,1546437600.0
33,2,9,69262360.0,1546441200.0
34,2,10,89283608.0,1546444800.0
35,2,11,99309248.0,1546448400.0
36,2,12,98336048.0,1546452000.0
37,2,13,86693152.0,1546455600.0
38,2,14,64772708.0,1546459200.0
39,2,15,34713012.0,1546462800.0
40,2,16,0.0,1546466400.0
41,2,17,0.0,1546470000.0
42,2,18,0.0,1546473600.0
43,2,19,0.0,1546477200.0
44,2,20,0.0,1546480800.0
45,2,21,0.0,1546484400.0
46,2,22,0.0,1546488000.0
47,2,23,0.0,1546491600.0
48,3,0,0.0,1546495200.0
49,3,1,0.0,1546498800.0
50,3,2,0.0,1546502400.0
51,3,3,0.0,1546506000.0
52,3,4,0.0,1546509600.0
53,3,5,0.0,1546513200.0
54,3,6,0.0,1546516800.0
55,3,7,277201.813,1546520400.0
56,3,8,4146668.25,1546524000.0
57,3,9,8215041.0,1546527600.0
58,3,10,14304533.0,1546531200.0
59,3,11,15087783.0,1546534800.0
60,3,12,19069536.0,1546538400.0
61,3,13,19561764.0,1546542000.0
62,3,14,13543779.0,1546545600.0
63,3,15,5954291.0,1546549200.0
64,3,16,0.0,1546552800.0
65,3,17,0.0,1546556400.0
66,3,18,0.0,1546560000.0
67,3,19,0.0,1546563600.0
68,3,20,0.0,1546567200.0
69,3,21,0.0,1546570800.0
70,3,22,0.0,1546574400.0
71,3,23,0.0,1546578000.0
72,4,0,0.0,1546581600.0
73,4,1,0.0,1546585200.0
74,4,2,0.0,1546588800.0
75,4,3,0.0,1546592400.0
76,4,4,0.0,1546596000.0
77,4,5,0.0,1546599600.0
78,4,6,0.0,1546603200.0
79,4,7,827886.563,1546606800.0
80,4,8,9309921.0,1546610400.0
81,4,9,19768018.0,1546614000.0
82,4,10,31748382.0,1546617600.0
83,4,11,19032084.0,1546621200.0
84,4,12,14783175.0,1546624800.0
85,4,13,30220696.0,1546628400.0
86,4,14,21654630.0,1546632000.0
87,4,15,10090878.0,1546635600.0
88,4,16,0.0,1546639200.0
89,4,17,0.0,1546642800.0
90,4,18,0.0,1546646400.0
91,4,19,0.0,1546650000.0
92,4,20,0.0,1546653600.0
93,4,21,0.0,1546657200.0
94,4,22,0.0,1546660800.0
95,4,23,0.0,1546664400.0
96,5,0,0.0,1546668000.0
97,5,1,0.0,1546671600.0
98,5,2,0.0,1546675200.0
99,5,3,0.0,1546678800.0
100,5,4,0.0,1546682400.0
101,5,5,0.0,1546686000.0
102,5,6,0.0,1546689600.0
103,5,7,1968247.0,1546693200.0
104,5,8,41164028.0,1546696800.0
105,5,9,52064520.0,1546700400.0
106,5,10,70823192.0,1546704000.0
107,5,11,79893168.0,1546707600.0
108,5,12,98529840.0,1546711200.0
109,5,13,63692392.0,1546714800.0
110,5,14,45635016.0,1546718400.0
111,5,15,22240408.0,1546722000.0
112,5,16,0.0,1546725600.0
113,5,17,0.0,1546729200.0
114,5,18,0.0,1546732800.0
115,5,19,0.0,1546736400.0
116,5,20,0.0,1546740000.0
117,5,21,0.0,1546743600.0
118,5,22,0.0,1546747200.0
119,5,23,0.0,1546750800.0
120,6,0,0.0,1546754400.0
121,6,1,0.0,1546758000.0
122,6,2,0.0,1546761600.0
123,6,3,0.0,1546765200.0
124,6,4,0.0,1546768800.0
125,6,5,0.0,1546772400.0
126,6,6,0.0,1546776000.0
127,6,7,1388313.625,1546779600.0
128,6,8,27393928.0,1546783200.0
129,6,9,48521908.0,1546786800.0
130,6,10,66129480.0,1546790400.0
131,6,11,84420048.0,1546794000.0
132,6,12,70792008.0,1546797600.0
133,6,13,39703032.0,1546801200.0
134,6,14,28380426.0,1546804800.0
135,6,15,13600734.0,1546808400.0
136,6,16,0.0,1546812000.0
137,6,17,0.0,1546815600.0
138,6,18,0.0,1546819200.0
139,6,19,0.0,1546822800.0
140,6,20,0.0,1546826400.0
141,6,21,0.0,1546830000.0
142,6,22,0.0,1546833600.0
143,6,23,0.0,1546837200.0
144,7,0,0.0,1546840800.0
145,7,1,0.0,1546844400.0
146,7,2,0.0,1546848000.0
147,7,3,0.0,1546851600.0
148,7,4,0.0,1546855200.0
149,7,5,0.0,1546858800.0
150,7,6,0.0,1546862400.0
151,7,7,960904.938,1546866000.0
152,7,8,16206372.0,1546869600.0
153,7,9,30728480.0,1546873200.0
154,7,10,44129320.0,1546876800.0
155,7,11,29105022.0,1546880400.0
156,7,12,26026916.0,1546884000.0
157,7,13,17034584.0,1546887600.0
158,7,14,11925876.0,1546891200.0
159,7,15,5501377.0,1546894800.0
160,7,16,0.0,1546898400.0
161,7,17,0.0,1546902000.0
162,7,18,0.0,1546905600.0
163,7,19,0.0,1546909200.0
164,7,20,0.0,1546912800.0
165,7,21,0.0,1546916400.0
166,7,22,0.0,1546920000.0
167,7,23,0.0,1546923600.0
168,8,0,0.0,1546927200.0
169,8,1,0.0,1546930800.0
170,8,2,0.0,1546934400.0
171,8,3,0.0,1546938000.0
172,8,4,0.0,1546941600.0
173,8,5,0.0,1546945200.0
174,8,6,0.0,1546948800.0
175,8,7,407646.281,1546952400.0
176,8,8,6066919.5,1546956000.0
177,8,9,12346623.0,1546959600.0
178,8,10,13253242.0,1546963200.0
179,8,11,10857043.0,1546966800.0
180,8,12,5818852.0,1546970400.0
181,8,13,3792929.25,1546974000.0
182,8,14,2574187.75,1546977600.0
183,8,15,1219178.75,1546981200.0
184,8,16,0.0,1546984800.0
185,8,17,0.0,1546988400.0
186,8,18,0.0,1546992000.0
187,8,19,0.0,1546995600.0
188,8,20,0.0,1546999200.0
189,8,21,0.0,1547002800.0
190,8,22,0.0,1547006400.0
191,8,23,0.0,1547010000.0
192,9,0,0.0,1547013600.0
193,9,1,0.0,1547017200.0
194,9,2,0.0,1547020800.0
195,9,3,0.0,1547024400.0
196,9,4,0.0,1547028000.0
197,9,5,0.0,1547031600.0
198,9,6,0.0,1547035200.0
199,9,7,274292.031,1547038800.0
200,9,8,3693392.25,1547042400.0
201,9,9,7347729.5,1547046000.0
202,9,10,8829496.0,1547049600.0
203,9,11,10041110.0,1547053200.0
204,9,12,14603957.0,1547056800.0
205,9,13,13438486.0,1547060400.0
206,9,14,9361177.0,1547064000.0
207,9,15,4233827.0,1547067600.0
208,9,16,0.0,1547071200.0
209,9,17,0.0,1547074800.0
210,9,18,0.0,1547078400.0
211,9,19,0.0,1547082000.0
212,9,20,0.0,1547085600.0
213,9,21,0.0,1547089200.0
214,9,22,0.0,1547092800.0
215,9,23,0.0,1547096400.0
216,10,0,0.0,1547100000.0
217,10,1,0.0,1547103600.0
218,10,2,0.0,1547107200.0
219,10,3,0.0,1547110800.0
220,10,4,0.0,1547114400.0
221,10,5,0.0,1547118000.0
222,10,6,0.0,1547121600.0
223,10,7,1562524.875,1547125200.0
224,10,8,31307830.0,1547128800.0
225,10,9,55618996.0,1547132400.0
226,10,10,68932920.0,1547136000.0
227,10,11,84416416.0,1547139600.0
228,10,12,91679488.0,1547143200.0
229,10,13,80719696.0,1547146800.0
230,10,14,62708584.0,1547150400.0
231,10,15,35710360.0,1547154000.0
232,10,16,0.0,1547157600.0
233,10,17,0.0,1547161200.0
234,10,18,0.0,1547164800.0
235,10,19,0.0,1547168400.0
236,10,20,0.0,1547172000.0
237,10,21,0.0,1547175600.0
238,10,22,0.0,1547179200.0
239,10,23,0.0,1547182800.0
240,11,0,0.0,1547186400.0
241,11,1,0.0,1547190000.0
242,11,2,0.0,1547193600.0
243,11,3,0.0,1547197200.0
244,11,4,0.0,1547200800.0
245,11,5,0.0,1547204400.0
246,11,6,0.0,1547208000.0
247,11,7,2326716.0,1547211600.0
248,11,8,43707712.0,1547215200.0
249,11,9,38781624.0,1547218800.0
250,11,10,64281724.0,1547222400.0
251,11,11,59439868.0,1547226000.0
252,11,12,40974392.0,1547229600.0
253,11,13,21175310.0,1547233200.0
254,11,14,14695470.0,1547236800.0
255,11,15,6606558.5,1547240400.0
256,11,16,0.0,1547244000.0
257,11,17,0.0,1547247600.0
258,11,18,0.0,1547251200.0
259,11,19,0.0,1547254800.0
260,11,20,0.0,1547258400.0
261,11,21,0.0,1547262000.0
262,11,22,0.0,1547265600.0
263,11,23,0.0,1547269200.0
264,12,0,0.0,1547272800.0
265,12,1,0.0,1547276400.0
266,12,2,0.0,1547280000.0
267,12,3,0.0,1547283600.0
268,12,4,0.0,1547287200.0
269,12,5,0.0,1547290800.0
270,12,6,0.0,1547294400.0
271,12,7,2157849.5,1547298000.0
272,12,8,41095892.0,1547301600.0
273,12,9,45103312.0,1547305200.0
274,12,10,62625792.0,1547308800.0
275,12,11,75777832.0,1547312400.0
276,12,12,84926160.0,1547316000.0
277,12,13,79222216.0,1547319600.0
278,12,14,61597328.0,1547323200.0
279,12,15,34859104.0,1547326800.0
280,12,16,0.0,1547330400.0
281,12,17,0.0,1547334000.0
282,12,18,0.0,1547337600.0
283,12,19,0.0,1547341200.0
284,12,20,0.0,1547344800.0
285,12,21,0.0,1547348400.0
286,12,22,0.0,1547352000.0
287,12,23,0.0,1547355600.0
288,13,0,0.0,1547359200.0
289,13,1,0.0,1547362800.0
290,13,2,0.0,1547366400.0
291,13,3,0.0,1547370000.0
292,13,4,0.0,1547373600.0
293,13,5,0.0,1547377200.0
294,13,6,0.0,1547380800.0
295,13,7,144427.641,1547384400.0
296,13,8,2006480.625,1547388000.0
297,13,9,3853164.75,1547391600.0
298,13,10,6963879.5,1547395200.0
299,13,11,14172821.0,1547398800.0
300,13,12,9438424.0,1547402400.0
301,13,13,33663932.0,1547406000.0
302,13,14,24275066.0,1547409600.0
303,13,15,12025781.0,1547413200.0
304,13,16,834788.0,1547416800.0
305,13,17,0.0,1547420400.0
306,13,18,0.0,1547424000.0
307,13,19,0.0,1547427600.0
308,13,20,0.0,1547431200.0
309,13,21,0.0,1547434800.0
310,13,22,0.0,1547438400.0
311,13,23,0.0,1547442000.0
312,14,0,0.0,1547445600.0
313,14,1,0.0,1547449200.0
314,14,2,0.0,1547452800.0
315,14,3,0.0,1547456400.0
316,14,4,0.0,1547460000.0
317,14,5,0.0,1547463600.0
318,14,6,0.0,1547467200.0
319,14,7,1648478.375,1547470800.0
320,14,8,29690672.0,1547474400.0
321,14,9,54276620.0,1547478000.0
322,14,10,68211136.0,1547481600.0
323,14,11,87353104.0,1547485200.0
324,14,12,84903520.0,1547488800.0
325,14,13,78737072.0,1547492400.0
326,14,14,65740996.0,1547496000.0
327,14,15,37676040.0,1547499600.0
328,14,16,6643678.0,1547503200.0
329,14,17,0.0,1547506800.0
330,14,18,0.0,1547510400.0
331,14,19,0.0,1547514000.0
332,14,20,0.0,1547517600.0
333,14,21,0.0,1547521200.0
334,14,22,0.0,1547524800.0
335,14,23,0.0,1547528400.0
336,15,0,0.0,1547532000.0
337,15,1,0.0,1547535600.0
338,15,2,0.0,1547539200.0
339,15,3,0.0,1547542800.0
340,15,4,0.0,1547546400.0
341,15,5,0.0,1547550000.0
342,15,6,0.0,1547553600.0
343,15,7,675889.625,1547557200.0
344,15,8,11759322.0,1547560800.0
345,15,9,24549546.0,1547564400.0
346,15,10,1489141.75,1547568000.0
347,15,11,14451531.0,1547571600.0
348,15,12,3128744.5,1547575200.0
349,15,13,34224416.0,1547578800.0
350,15,14,24847084.0,1547582400.0
351,15,15,12685534.0,1547586000.0
352,15,16,953932.375,1547589600.0
353,15,17,0.0,1547593200.0
354,15,18,0.0,1547596800.0
355,15,19,0.0,1547600400.0
356,15,20,0.0,1547604000.0
357,15,21,0.0,1547607600.0
358,15,22,0.0,1547611200.0
359,15,23,0.0,1547614800.0
360,16,0,0.0,1547618400.0
361,16,1,0.0,1547622000.0
362,16,2,0.0,1547625600.0
363,16,3,0.0,1547629200.0
364,16,4,0.0,1547632800.0
365,16,5,0.0,1547636400.0
366,16,6,0.0,1547640000.0
367,16,7,2521336.25,1547643600.0
368,16,8,39696352.0,1547647200.0
369,16,9,68435344.0,1547650800.0
370,16,10,89031704.0,1547654400.0
371,16,11,100657200.0,1547658000.0
372,16,12,101112144.0,1547661600.0
373,16,13,90862032.0,1547665200.0
374,16,14,70136416.0,1547668800.0
375,16,15,40252648.0,1547672400.0
376,16,16,2514723.5,1547676000.0
377,16,17,0.0,1547679600.0
378,16,18,0.0,1547683200.0
379,16,19,0.0,1547686800.0
380,16,20,0.0,1547690400.0
381,16,21,0.0,1547694000.0
382,16,22,0.0,1547697600.0
383,16,23,0.0,1547701200.0
384,17,0,0.0,1547704800.0
385,17,1,0.0,1547708400.0
386,17,2,0.0,1547712000.0
387,17,3,0.0,1547715600.0
388,17,4,0.0,1547719200.0
389,17,5,0.0,1547722800.0
390,17,6,0.0,1547726400.0
391,17,7,2322011.5,1547730000.0
392,17,8,35525616.0,1547733600.0
393,17,9,60961084.0,1547737200.0
394,17,10,84826648.0,1547740800.0
395,17,11,97564912.0,1547744400.0
396,17,12,100653488.0,1547748000.0
397,17,13,90113568.0,1547751600.0
398,17,14,70464712.0,1547755200.0
399,17,15,41602856.0,1547758800.0
400,17,16,2961126.75,1547762400.0
401,17,17,0.0,1547766000.0
402,17,18,0.0,1547769600.0
403,17,19,0.0,1547773200.0
404,17,20,0.0,1547776800.0
405,17,21,0.0,1547780400.0
406,17,22,0.0,1547784000.0
407,17,23,0.0,1547787600.0
408,18,0,0.0,1547791200.0
409,18,1,0.0,1547794800.0
410,18,2,0.0,1547798400.0
411,18,3,0.0,1547802000.0
412,18,4,0.0,1547805600.0
413,18,5,0.0,1547809200.0
414,18,6,0.0,1547812800.0
415,18,7,2039717.375,1547816400.0
416,18,8,26963356.0,1547820000.0
417,18,9,45344628.0,1547823600.0
418,18,10,61326196.0,1547827200.0
419,18,11,109898112.0,1547830800.0
420,18,12,109407504.0,1547834400.0
421,18,13,74099248.0,1547838000.0
422,18,14,49383088.0,1547841600.0
423,18,15,28707592.0,1547845200.0
424,18,16,2446258.25,1547848800.0
425,18,17,0.0,1547852400.0
426,18,18,0.0,1547856000.0
427,18,19,0.0,1547859600.0
428,18,20,0.0,1547863200.0
429,18,21,0.0,1547866800.0
430,18,22,0.0,1547870400.0
431,18,23,0.0,1547874000.0
432,19,0,0.0,1547877600.0
433,19,1,0.0,1547881200.0
434,19,2,0.0,1547884800.0
435,19,3,0.0,1547888400.0
436,19,4,0.0,1547892000.0
437,19,5,0.0,1547895600.0
438,19,6,0.0,1547899200.0
439,19,7,2175818.0,1547902800.0
440,19,8,27916652.0,1547906400.0
441,19,9,48055908.0,1547910000.0
442,19,10,95403344.0,1547913600.0
443,19,11,104291960.0,1547917200.0
444,19,12,74161240.0,1547920800.0
445,19,13,93745912.0,1547924400.0
446,19,14,59636192.0,1547928000.0
447,19,15,34670536.0,1547931600.0
448,19,16,3054773.75,1547935200.0
449,19,17,0.0,1547938800.0
450,19,18,0.0,1547942400.0
451,19,19,0.0,1547946000.0
452,19,20,0.0,1547949600.0
453,19,21,0.0,1547953200.0
454,19,22,0.0,1547956800.0
455,19,23,0.0,1547960400.0
456,20,0,0.0,1547964000.0
457,20,1,0.0,1547967600.0
458,20,2,0.0,1547971200.0
459,20,3,0.0,1547974800.0
460,20,4,0.0,1547978400.0
461,20,5,0.0,1547982000.0
462,20,6,0.0,1547985600.0
463,20,7,992098.375,1547989200.0
464,20,8,8340964.0,1547992800.0
465,20,9,16286108.0,1547996400.0
466,20,10,41144224.0,1548000000.0
467,20,11,48443728.0,1548003600.0
468,20,12,65780112.0,1548007200.0
469,20,13,63591744.0,1548010800.0
470,20,14,35921688.0,1548014400.0
471,20,15,20393558.0,1548018000.0
472,20,16,2243607.25,1548021600.0
473,20,17,0.0,1548025200.0
474,20,18,0.0,1548028800.0
475,20,19,0.0,1548032400.0
476,20,20,0.0,1548036000.0
477,20,21,0.0,1548039600.0
478,20,22,0.0,1548043200.0
479,20,23,0.0,1548046800.0
480,21,0,0.0,1548050400.0
481,21,1,0.0,1548054000.0
482,21,2,0.0,1548057600.0
483,21,3,0.0,1548061200.0
484,21,4,0.0,1548064800.0
485,21,5,0.0,1548068400.0
486,21,6,0.0,1548072000.0
487,21,7,2548224.5,1548075600.0
488,21,8,32682698.0,1548079200.0
489,21,9,61267076.0,1548082800.0
490,21,10,77846840.0,1548086400.0
491,21,11,87149432.0,1548090000.0
492,21,12,86358248.0,1548093600.0
493,21,13,80187280.0,1548097200.0
494,21,14,47213800.0,1548100800.0
495,21,15,39697508.0,1548104400.0
496,21,16,9233114.0,1548108000.0
497,21,17,0.0,1548111600.0
498,21,18,0.0,1548115200.0
499,21,19,0.0,1548118800.0
500,21,20,0.0,1548122400.0
501,21,21,0.0,1548126000.0
502,21,22,0.0,1548129600.0
503,21,23,0.0,1548133200.0
504,22,0,0.0,1548136800.0
505,22,1,0.0,1548140400.0
506,22,2,0.0,1548144000.0
507,22,3,0.0,1548147600.0
508,22,4,0.0,1548151200.0
509,22,5,0.0,1548154800.0
510,22,6,0.0,1548158400.0
511,22,7,414593.156,1548162000.0
512,22,8,4131161.75,1548165600.0
513,22,9,7977711.5,1548169200.0
514,22,10,16183281.0,1548172800.0
515,22,11,27009200.0,1548176400.0
516,22,12,39071716.0,1548180000.0
517,22,13,68561520.0,1548183600.0
518,22,14,25069514.0,1548187200.0
519,22,15,13632834.0,1548190800.0
520,22,16,1925779.125,1548194400.0
521,22,17,0.0,1548198000.0
522,22,18,0.0,1548201600.0
523,22,19,0.0,1548205200.0
524,22,20,0.0,1548208800.0
525,22,21,0.0,1548212400.0
526,22,22,0.0,1548216000.0
527,22,23,0.0,1548219600.0
528,23,0,0.0,1548223200.0
529,23,1,0.0,1548226800.0
530,23,2,0.0,1548230400.0
531,23,3,0.0,1548234000.0
532,23,4,0.0,1548237600.0
533,23,5,0.0,1548241200.0
534,23,6,0.0,1548244800.0
535,23,7,1378653.625,1548248400.0
536,23,8,9826894.0,1548252000.0
537,23,9,18645052.0,1548255600.0
538,23,10,74037712.0,1548259200.0
539,23,11,41076992.0,1548262800.0
540,23,12,38591392.0,1548266400.0
541,23,13,68197248.0,1548270000.0
542,23,14,51730304.0,1548273600.0
543,23,15,30944106.0,1548277200.0
544,23,16,7401106.5,1548280800.0
545,23,17,0.0,1548284400.0
546,23,18,0.0,1548288000.0
547,23,19,0.0,1548291600.0
548,23,20,0.0,1548295200.0
549,23,21,0.0,1548298800.0
550,23,22,0.0,1548302400.0
551,23,23,0.0,1548306000.0
552,24,0,0.0,1548309600.0
553,24,1,0.0,1548313200.0
554,24,2,0.0,1548316800.0
555,24,3,0.0,1548320400.0
556,24,4,0.0,1548324000.0
557,24,5,0.0,1548327600.0
558,24,6,0.0,1548331200.0
559,24,7,1252856.25,1548334800.0
560,24,8,8930654.0,1548338400.0
561,24,9,17002226.0,1548342000.0
562,24,10,36629184.0,1548345600.0
563,24,11,54019808.0,1548349200.0
564,24,12,88065928.0,1548352800.0
565,24,13,82296888.0,1548356400.0
566,24,14,50470432.0,1548360000.0
567,24,15,28389260.0,1548363600.0
568,24,16,5709317.0,1548367200.0
569,24,17,0.0,1548370800.0
570,24,18,0.0,1548374400.0
571,24,19,0.0,1548378000.0
572,24,20,0.0,1548381600.0
573,24,21,0.0,1548385200.0
574,24,22,0.0,1548388800.0
575,24,23,0.0,1548392400.0
576,25,0,0.0,1548396000.0
577,25,1,0.0,1548399600.0
578,25,2,0.0,1548403200.0
579,25,3,0.0,1548406800.0
580,25,4,0.0,1548410400.0
581,25,5,0.0,1548414000.0
582,25,6,0.0,1548417600.0
583,25,7,2956830.75,1548421200.0
584,25,8,30850684.0,1548424800.0
585,25,9,57576876.0,1548428400.0
586,25,10,81310024.0,1548432000.0
587,25,11,85336712.0,1548435600.0
588,25,12,80740744.0,1548439200.0
589,25,13,45723628.0,1548442800.0
590,25,14,13289639.0,1548446400.0
591,25,15,6963817.5,1548450000.0
592,25,16,1086415.5,1548453600.0
593,25,17,0.0,1548457200.0
594,25,18,0.0,1548460800.0
595,25,19,0.0,1548464400.0
596,25,20,0.0,1548468000.0
597,25,21,0.0,1548471600.0
598,25,22,0.0,1548475200.0
599,25,23,0.0,1548478800.0
600,26,0,0.0,1548482400.0
601,26,1,0.0,1548486000.0
602,26,2,0.0,1548489600.0
603,26,3,0.0,1548493200.0
604,26,4,0.0,1548496800.0
605,26,5,0.0,1548500400.0
606,26,6,0.0,1548504000.0
607,26,7,547029.688,1548507600.0
608,26,8,4518832.5,1548511200.0
609,26,9,8623298.0,1548514800.0
610,26,10,25170800.0,1548518400.0
611,26,11,11486671.0,1548522000.0
612,26,12,11082200.0,1548525600.0
613,26,13,8895564.0,1548529200.0
614,26,14,6570176.5,1548532800.0
615,26,15,3695830.75,1548536400.0
616,26,16,686693.313,1548540000.0
617,26,17,0.0,1548543600.0
618,26,18,0.0,1548547200.0
619,26,19,0.0,1548550800.0
620,26,20,0.0,1548554400.0
621,26,21,0.0,1548558000.0
622,26,22,0.0,1548561600.0
623,26,23,0.0,1548565200.0
624,27,0,0.0,1548568800.0
625,27,1,0.0,1548572400.0
626,27,2,0.0,1548576000.0
627,27,3,0.0,1548579600.0
628,27,4,0.0,1548583200.0
629,27,5,0.0,1548586800.0
630,27,6,0.0,1548590400.0
631,27,7,693949.25,1548594000.0
632,27,8,4286391.0,1548597600.0
633,27,9,7735276.0,1548601200.0
634,27,10,19214368.0,1548604800.0
635,27,11,69887552.0,1548608400.0
636,27,12,105942472.0,1548612000.0
637,27,13,96550232.0,1548615600.0
638,27,14,76573216.0,1548619200.0
639,27,15,46481736.0,1548622800.0
640,27,16,13550498.0,1548626400.0
641,27,17,0.0,1548630000.0
642,27,18,0.0,1548633600.0
643,27,19,0.0,1548637200.0
644,27,20,0.0,1548640800.0
645,27,21,0.0,1548644400.0
646,27,22,0.0,1548648000.0
647,27,23,0.0,1548651600.0
648,28,0,0.0,1548655200.0
649,28,1,0.0,1548658800.0
650,28,2,0.0,1548662400.0
651,28,3,0.0,1548666000.0
652,28,4,0.0,1548669600.0
653,28,5,0.0,1548673200.0
654,28,6,0.0,1548676800.0
655,28,7,2054109.5,1548680400.0
656,28,8,14500523.0,1548684000.0
657,28,9,26434664.0,1548687600.0
658,28,10,24243512.0,1548691200.0
659,28,11,7971221.5,1548694800.0
660,28,12,26179238.0,1548698400.0
661,28,13,17129720.0,1548702000.0
662,28,14,14189047.0,1548705600.0
663,28,15,8163570.0,1548709200.0
664,28,16,1918580.25,1548712800.0
665,28,17,0.0,1548716400.0
666,28,18,0.0,1548720000.0
667,28,19,0.0,1548723600.0
668,28,20,0.0,1548727200.0
669,28,21,0.0,1548730800.0
670,28,22,0.0,1548734400.0
671,28,23,0.0,1548738000.0
672,29,0,0.0,1548741600.0
673,29,1,0.0,1548745200.0
674,29,2,0.0,1548748800.0
675,29,3,0.0,1548752400.0
676,29,4,0.0,1548756000.0
677,29,5,0.0,1548759600.0
678,29,6,0.0,1548763200.0
679,29,7,13832161.0,1548766800.0
680,29,8,46788392.0,1548770400.0
681,29,9,73585400.0,1548774000.0
682,29,10,91379512.0,1548777600.0
683,29,11,65766000.0,1548781200.0
684,29,12,68149784.0,1548784800.0
685,29,13,66517108.0,1548788400.0
686,29,14,74019848.0,1548792000.0
687,29,15,45967956.0,1548795600.0
688,29,16,13692254.0,1548799200.0
689,29,17,0.0,1548802800.0
690,29,18,0.0,1548806400.0
691,29,19,0.0,1548810000.0
692,29,20,0.0,1548813600.0
693,29,21,0.0,1548817200.0
694,29,22,0.0,1548820800.0
695,29,23,0.0,1548824400.0
696,30,0,0.0,1548828000.0
697,30,1,0.0,1548831600.0
698,30,2,0.0,1548835200.0
699,30,3,0.0,1548838800.0
700,30,4,0.0,1548842400.0
701,30,5,0.0,1548846000.0
702,30,6,0.0,1548849600.0
703,30,7,3513903.75,1548853200.0
704,30,8,22503280.0,1548856800.0
705,30,9,41338364.0,1548860400.0
706,30,10,71656536.0,1548864000.0
707,30,11,64840764.0,1548867600.0
708,30,12,64264844.0,1548871200.0
709,30,13,70913528.0,1548874800.0
710,30,14,25966024.0,1548878400.0
711,30,15,15484414.0,1548882000.0
712,30,16,3476160.25,1548885600.0
713,30,17,0.0,1548889200.0
714,30,18,0.0,1548892800.0
715,30,19,0.0,1548896400.0
716,30,20,0.0,1548900000.0
717,30,21,0.0,1548903600.0
718,30,22,0.0,1548907200.0
719,30,23,0.0,1548910800.0
720,31,0,0.0,1548914400.0
721,31,1,0.0,1548918000.0
722,31,2,0.0,1548921600.0
723,31,3,0.0,1548925200.0
724,31,4,0.0,1548928800.0
725,31,5,0.0,1548932400.0
726,31,6,0.0,1548936000.0
727,31,7,0.0,1548939600.0
728,31,8,272242.125,1548943200.0
729,31,9,678305.5,1548946800.0
730,31,10,18513000.0,1548950400.0
731,31,11,1479272.25,1548954000.0
732,31,12,1353423.25,1548957600.0
733,31,13,12156173.0,1548961200.0
734,31,14,7975784.5,1548964800.0
735,31,15,4622052.5,1548968400.0
736,31,16,1088199.25,1548972000.0
737,31,17,0.0,1548975600.0
738,31,18,0.0,1548979200.0
739,31,19,0.0,1548982800.0
740,31,20,0.0,1548986400.0
741,31,21,0.0,1548990000.0
742,31,22,0.0,1548993600.0
743,31,23,0.0,1548997200.0
